DATE,GDP_PCH,FEDFUNDS
1954-01-01,0.34210,.
1955-01-01,8.94395,1.7850000000000000
1956-01-01,5.61085,2.7283333333333333
1957-01-01,5.49391,3.1050000000000000
1958-01-01,1.51654,1.5725000000000000
1959-01-01,8.40053,3.3050000000000000
1960-01-01,3.97351,3.2158333333333333
1961-01-01,3.65563,1.9550000000000000
1962-01-01,7.41925,2.7083333333333333
1963-01-01,5.55205,3.1783333333333333
1964-01-01,7.37468,3.4966666666666667
1965-01-01,8.44880,4.0750000000000000
1966-01-01,9.58163,5.1116666666666667
1967-01-01,5.72187,4.2200000000000000
1968-01-01,9.38306,5.6591666666666667
1969-01-01,8.18251,8.2041666666666667
1970-01-01,5.47314,7.1833333333333333
1971-01-01,8.52868,4.6625000000000000
1972-01-01,9.80918,4.4341666666666667
1973-01-01,11.43481,8.7275000000000000
1974-01-01,8.40947,10.5025000000000000
1975-01-01,9.03823,5.8241666666666667
1976-01-01,11.18802,5.0450000000000000
1977-01-01,11.12475,5.5375000000000000
1978-01-01,12.95852,7.9308333333333333
1979-01-01,11.72511,11.1941666666666667
1980-01-01,8.75347,13.3558333333333333
1981-01-01,12.23994,16.3783333333333333
1982-01-01,4.26399,12.2583333333333333
1983-01-01,8.68019,9.0866666666666667
1984-01-01,11.10549,10.2250000000000000
1985-01-01,7.46398,8.1008333333333333
1986-01-01,5.54628,6.8050000000000000
1987-01-01,6.01760,6.6575000000000000
1988-01-01,7.85180,7.5683333333333333
1989-01-01,7.73697,9.2166666666666667
1990-01-01,5.69991,8.0991666666666667
1991-01-01,3.26983,5.6875000000000000
1992-01-01,5.88162,3.5216666666666667
1993-01-01,5.18734,3.0225000000000000
1994-01-01,6.25026,4.2016666666666667
1995-01-01,4.83740,5.8366666666666667
1996-01-01,5.67260,5.2983333333333333
1997-01-01,6.24827,5.4600000000000000
1998-01-01,5.65737,5.3533333333333333
1999-01-01,6.27128,4.9700000000000000
2000-01-01,6.43515,6.2358333333333333
2001-01-01,3.22874,3.8875000000000000
2002-01-01,3.28087,1.6666666666666667
2003-01-01,4.82511,1.1275000000000000
2004-01-01,6.64033,1.3491666666666667
2005-01-01,6.72823,3.2133333333333333
2006-01-01,5.95425,4.9641666666666667
2007-01-01,4.76740,5.0191666666666667
2008-01-01,2.04249,1.9275000000000000
2009-01-01,-1.97561,0.16000000000000000000
2010-01-01,3.94323,0.17500000000000000000
2011-01-01,3.65980,0.10166666666666666667
2012-01-01,4.19391,0.14000000000000000000
2013-01-01,3.62512,0.10750000000000000000
2014-01-01,4.20046,0.08916666666666666667
2015-01-01,3.73396,0.13250000000000000000
2016-01-01,2.68638,0.39500000000000000000
2017-01-01,4.18415,1.00166666666666666667
2018-01-01,5.42025,1.8316666666666667
2019-01-01,4.12953,2.1583333333333333
2020-01-01,-1.49900,0.37583333333333333333
2021-01-01,10.70540,0.08000000000000000000
